"CountryCode","GenderCode","LifeExpectancy","LowestPricEstTobacco","MediumPriceEstTobacco","Mortality","PremiumPricEstTobacco","TobaccoPrevalence","TotalTax"
"TTO","BTSX",4,1,7,20,0,0,7
"TTO","FMLE",4,0,0,20,0,0,0
"TTO","MLE",4,0,0,20,0,0,0
"TUN","BTSX",4,1,7,20,1,8,7
"TUN","FMLE",4,0,0,20,0,8,0
"TUN","MLE",4,0,0,20,0,8,0
"TUR","BTSX",4,1,7,20,1,8,7
"TUR","FMLE",4,0,0,20,0,8,0
"TUR","MLE",4,0,0,20,0,8,0
"TUV","BTSX",0,1,7,0,1,8,6
"TUV","FMLE",0,0,0,0,0,8,0
"TUV","MLE",0,0,0,0,0,8,0
"TZA","BTSX",4,1,7,20,1,8,7
"TZA","FMLE",4,0,0,20,0,8,0
"TZA","MLE",4,0,0,20,0,8,0
"UGA","BTSX",4,1,7,20,1,8,7
"UGA","FMLE",4,0,0,20,0,8,0
"UGA","MLE",4,0,0,20,0,8,0
"UKR","BTSX",4,1,7,20,1,8,7
"UKR","FMLE",4,0,0,20,0,8,0
"UKR","MLE",4,0,0,20,0,8,0
"URY","BTSX",4,1,7,20,1,8,7
"URY","FMLE",4,0,0,20,0,8,0
"URY","MLE",4,0,0,20,0,8,0
"USA","BTSX",4,1,7,20,1,8,7
"USA","FMLE",4,0,0,20,0,8,0
"USA","MLE",4,0,0,20,0,8,0
"UZB","BTSX",4,1,7,20,1,8,7
"UZB","FMLE",4,0,0,20,0,8,0
"UZB","MLE",4,0,0,20,0,8,0
"VCT","BTSX",4,1,7,20,1,0,7
"VCT","FMLE",4,0,0,20,0,0,0
"VCT","MLE",4,0,0,20,0,0,0
"VEN","BTSX",4,1,7,20,1,0,7
"VEN","FMLE",4,0,0,20,0,0,0
"VEN","MLE",4,0,0,20,0,0,0
"VNM","BTSX",4,1,7,20,1,8,7
"VNM","FMLE",4,0,0,20,0,8,0
"VNM","MLE",4,0,0,20,0,8,0
"VUT","BTSX",4,1,7,20,1,8,7
"VUT","FMLE",4,0,0,20,0,8,0
"VUT","MLE",4,0,0,20,0,8,0
"WSM","BTSX",4,1,7,20,1,8,7
"WSM","FMLE",4,0,0,20,0,8,0
"WSM","MLE",4,0,0,20,0,8,0
"YEM","BTSX",4,1,7,20,1,8,7
"YEM","FMLE",4,0,0,20,0,8,0
"YEM","MLE",4,0,0,20,0,8,0
"ZAF","BTSX",4,1,7,20,1,8,7
"ZAF","FMLE",4,0,0,20,0,8,0
"ZAF","MLE",4,0,0,20,0,8,0
"ZMB","BTSX",4,0,7,20,0,8,7
"ZMB","FMLE",4,0,0,20,0,8,0
"ZMB","MLE",4,0,0,20,0,8,0
"ZWE","BTSX",4,1,7,20,1,8,7
