"ID","CountryCode","Year","GenderCode","TobaccoPrevalence","LifeExpectancy","Mortality","LowestPricEstTobacco","PremiumPricEstTobacco","MediumPriceEstTobacco","TotalTax","cost_mean","MediumPriceEstTobacco_who","AveragePrev","TobaccoPrevalence_who"
"CIV2002M","CIV",2002,"MLE",NA,NA,30.92,NA,NA,NA,NA,NA,NA,NA,NA
"CIV2003B","CIV",2003,"BTSX",NA,NA,27.14,NA,NA,NA,NA,NA,NA,NA,NA
"CIV2003F","CIV",2003,"FMLE",NA,NA,22.47,NA,NA,NA,NA,NA,NA,NA,NA
"CIV2003M","CIV",2003,"MLE",NA,NA,30.75,NA,NA,NA,NA,NA,NA,NA,NA
"CIV2004B","CIV",2004,"BTSX",NA,NA,26.84,NA,NA,NA,NA,NA,NA,NA,NA
"CIV2004F","CIV",2004,"FMLE",NA,NA,22.07,NA,NA,NA,NA,NA,NA,NA,NA
"CIV2004M","CIV",2004,"MLE",NA,NA,30.54,NA,NA,NA,NA,NA,NA,NA,NA
"CIV2006B","CIV",2006,"BTSX",NA,NA,26.7,NA,NA,NA,NA,NA,NA,NA,NA
"CIV2006F","CIV",2006,"FMLE",NA,NA,22.83,NA,NA,NA,NA,NA,NA,NA,NA
"CIV2006M","CIV",2006,"MLE",NA,NA,29.73,NA,NA,NA,NA,NA,NA,NA,NA
"CIV2007B","CIV",2007,"BTSX",NA,NA,26.47,NA,NA,NA,NA,NA,NA,NA,NA
"CIV2007F","CIV",2007,"FMLE",NA,NA,22.9,NA,NA,NA,NA,NA,NA,NA,NA
"CIV2007M","CIV",2007,"MLE",NA,NA,29.28,NA,NA,NA,NA,NA,NA,NA,NA
"CIV2008B","CIV",2008,"BTSX",NA,NA,25.56,NA,NA,"700","0.25",NA,NA,NA,NA
"CIV2008F","CIV",2008,"FMLE",NA,NA,22.15,NA,NA,NA,NA,NA,NA,NA,NA
"CIV2008M","CIV",2008,"MLE",NA,NA,28.25,NA,NA,NA,NA,NA,NA,NA,NA
"CIV2009B","CIV",2009,"BTSX",NA,NA,25.77,NA,NA,NA,NA,NA,NA,NA,NA
"CIV2009F","CIV",2009,"FMLE",NA,NA,22.77,NA,NA,NA,NA,NA,NA,NA,NA
"CIV2009M","CIV",2009,"MLE",NA,NA,28.15,NA,NA,NA,NA,NA,NA,NA,NA
"CIV2011B","CIV",2011,"BTSX",NA,NA,25.5,NA,NA,NA,NA,NA,NA,NA,NA
"CIV2011F","CIV",2011,"FMLE",NA,NA,22.36,NA,NA,NA,NA,NA,NA,NA,NA
"CIV2011M","CIV",2011,"MLE",NA,NA,28.01,NA,NA,NA,NA,NA,NA,NA,NA
"CIV2012B","CIV",2012,"BTSX",NA,NA,25.32,NA,NA,"700","0.25",NA,NA,NA,NA
"CIV2012F","CIV",2012,"FMLE",NA,NA,22.1,NA,NA,NA,NA,NA,NA,NA,NA
"CIV2012M","CIV",2012,"MLE",NA,NA,27.89,NA,NA,NA,NA,NA,NA,NA,NA
"CIV2013B","CIV",2013,"BTSX",NA,NA,24.96,NA,NA,NA,NA,NA,NA,NA,NA
"CIV2013F","CIV",2013,"FMLE",NA,NA,21.9,NA,NA,NA,NA,NA,NA,NA,NA
"CIV2013M","CIV",2013,"MLE",NA,NA,27.42,NA,NA,NA,NA,NA,NA,NA,NA
